isolate,species,width,length,pore
ICMP 18407,P. agathidicida,37.5,37.5,5
ICMP 18407,P. agathidicida,50,27.5,6.25
ICMP 18407,P. agathidicida,50,50,5
ICMP 18407,P. agathidicida,40,47.5,5
ICMP 18407,P. agathidicida,37.5,45,5
ICMP 18408,P. agathidicida,30,50,5
ICMP 18408,P. agathidicida,30,52.5,5
ICMP 18408,P. agathidicida,22.5,50,3.75
ICMP 18408,P. agathidicida,30,45,3.75
ICMP 18408,P. agathidicida,32.5,62.5,5
ICMP 18408,P. agathidicida,30,57.5,5
ICMP 18408,P. agathidicida,30,45,5
ICMP 18408,P. agathidicida,30,55,5
ICMP 18408,P. agathidicida,30,57.5,5
ICMP 18408,P. agathidicida,30,35.7,5
ICMP 18408,P. agathidicida,27.5,35,5
ICMP 18408,P. agathidicida,27.5,52.5,5
ICMP 18408,P. agathidicida,32.5,35,3.75
ICMP 18408,P. agathidicida,28.75,30,3.75
ICMP 18408,P. agathidicida,37.5,27.5,3.75
ICMP 18408,P. agathidicida,25,32.5,5
ICMP 18408,P. agathidicida,30,32.5,3.75
ICMP 18408,P. agathidicida,30,42.5,3.75
ICMP 18408,P. agathidicida,32.5,25,5
ICMP 18408,P. agathidicida,20,27.5,5
ICMP 18410,P. agathidicida,30,42.5,5
ICMP 18410,P. agathidicida,30,33.75,5
ICMP 18410,P. agathidicida,22.5,41.25,6.25
ICMP 18410,P. agathidicida,30,37.5,5
ICMP 18410,P. agathidicida,32.5,35,6.25
ICMP 18410,P. agathidicida,25,35,5
ICMP 18410,P. agathidicida,35,45,5
ICMP 18410,P. agathidicida,32.5,45,5
ICMP 18410,P. agathidicida,27.5,42.5,5
ICMP 18410,P. agathidicida,35,40,5
ICMP 18410,P. agathidicida,25,32.5,5
ICMP 18410,P. agathidicida,35,50,3.75
ICMP 18410,P. agathidicida,25,25,3.75
ICMP 18410,P. agathidicida,35,42.5,5
ICMP 18410,P. agathidicida,20,25,3.75
ICMP 18410,P. agathidicida,30,35,5
ICMP 18410,P. agathidicida,20,20,6.25
ICMP 18410,P. agathidicida,25,30,5
ICMP 18410,P. agathidicida,30,37.5,5
ICMP 18410,P. agathidicida,35,57.5,5
ICMP 17027,P. agathidicida,40,42.5,6.25
ICMP 17027,P. agathidicida,40,45,7.5
ICMP 17027,P. agathidicida,32.5,25,7.5
ICMP 17027,P. agathidicida,42.5,27.5,6.25
ICMP 17027,P. agathidicida,32.5,30,7.5
ICMP 17027,P. agathidicida,37.5,30,7.5
ICMP 17027,P. agathidicida,27.5,27.5,7.5
ICMP 17027,P. agathidicida,35,33.75,5
ICMP 17027,P. agathidicida,32.5,30,5
ICMP 17027,P. agathidicida,37.5,32.5,7.5
ICMP 17027,P. agathidicida,25,32.5,5
ICMP 17027,P. agathidicida,27.5,32.5,5
ICMP 17027,P. agathidicida,25,25,5
ICMP 17027,P. agathidicida,32.5,42.5,5
ICMP 17027,P. agathidicida,30,47.5,5
ICMP 17027,P. agathidicida,30,45,5
ICMP 17027,P. agathidicida,35,42.5,5
ICMP 17027,P. agathidicida,35,45,3.75
ICMP 17027,P. agathidicida,32.5,50,3.75
ICMP 17027,P. agathidicida,27.5,45,5
